"","Water2","TAXON","p_lit","adjp_lit","tp_2"
"94","Forested Lake","SMB",1.43046478873239,1,3.82084241922121
"95","Forested Lake","SMB",1.30659154929577,1,4.2511555923778
"96","Forested Lake","SMB",1.67132394366197,1,3.77823562551781
"97","Forested Lake","SMB",1.76567605633803,1,3.95371731565866
"98","Forested Lake","SMB",0.94474647887324,0.94474647887324,3.80873835956918
"99","Forested Lake","SMB",1.0052676056338,1,3.59833173156587
"100","Forested Lake","SMB",1.01088732394366,1,3.57635691797846
"101","Forested Lake","SMB",0.934774647887324,0.934774647887324,3.5625256006628
"102","Forested Lake","YPERCH",0.748549295774648,0.748549295774648,2.92236884838442
"103","Forested Lake","YPERCH",0.901070422535211,0.901070422535211,3.20909163214582
"104","Forested Lake","YPERCH",0.89130985915493,0.89130985915493,3.4748125932063
"105","Forested Lake","YPERCH",0.999746478873239,0.999746478873239,3.71450306545153
"106","Forested Lake","YPERCH",0.761535211267605,0.761535211267605,2.8798164043082
"107","Forested Lake","YPERCH",1.06019718309859,1,3.4658048053024
"108","Forested Lake","YPERCH",0.736352112676056,0.736352112676056,3.21261110190555
"109","Reference","SMB",0.383998165978909,0.383998165978909,3.85302276343825
"110","Reference","SMB",0.583677212287941,0.583677212287941,4.11582989454379
"111","Reference","SMB",0.826776707932141,0.826776707932141,4.20853615448931
"112","Reference","SMB",0.498784961027052,0.498784961027052,4.03625724842895
"113","Reference","SMB",0.418592388812472,0.418592388812472,4.00864740944521
"114","Reference","SMB",0.505754241173774,0.505754241173774,4.09210912425493
"115","Reference","SMB",0.507840440165062,0.507840440165062,3.66650983089247
"116","Reference","SMB",0.494108207244384,0.494108207244384,3.73430401596677
"117","Reference","SMB",0.707473635946813,0.707473635946813,3.8645919303072
"118","Reference","SMB",0.365176524530032,0.365176524530032,3.47751490142137
"119","Reference","SMB",0.429413113250803,0.429413113250803,3.78081371200475
"120","Reference","SMB",0.308115543328748,0.308115543328748,3.49780119750789
