"","iso1","iso2","group","community"
"82",-25.43,9.02,"SMB","Tadenac Lk."
"83",-25.17,9.22,"SMB","Tadenac Lk."
"84",-25.5,9.28,"SMB","Tadenac Lk."
"85",-30.31,6.97,"YPERCH","Tadenac Lk."
"86",-29.39,9.07,"YPERCH","Tadenac Lk."
"87",-27.02,7.62,"YPERCH","Tadenac Lk."
"88",-25.77,7.58,"YPERCH","Tadenac Lk."
"89",-26.99,7.64,"YPERCH","Tadenac Lk."
"90",-26.79,7.35,"YPERCH","Tadenac Lk."
"91",-26.83,8.41,"YPERCH","Tadenac Lk."
"92",-26.34,7.72,"YPERCH","Tadenac Lk."
"93",-25.64,8.16,"YPERCH","Tadenac Lk."
"94",-25.98,7.86,"YPERCH","Tadenac Lk."
"95",-26.3,8.09,"YPERCH","Tadenac Lk."
"96",-28.54,8.85,"YPERCH","Tadenac Lk."
"97",-30.3,8.74,"YPERCH","Tadenac Lk."
"98",-28.85,7.72,"YPERCH","Tadenac Lk."
"99",-22.41,7.58,"YPERCH","Tadenac Lk."
"100",-27.02,6.86,"YPERCH","Tadenac Lk."
"101",-27.06,8.74,"YPERCH","Tadenac Lk."
"102",-28.063286,7.185592,"YPERCH","Richardson Lk."
"103",-27.113797,7.751646,"YPERCH","Richardson Lk."
"104",-26.276793,7.655989,"YPERCH","Richardson Lk."
"105",-25.840493,7.464675,"YPERCH","Richardson Lk."
"106",-25.713209,8.354187,"YPERCH","Richardson Lk."
"107",-25.828826,7.256596,"YPERCH","Richardson Lk."
"108",-25.129717,7.227997,"YPERCH","Richardson Lk."
"109",-25.030396,7.947891,"YPERCH","Richardson Lk."
"110",-24.64061,6.92722,"YPERCH","Richardson Lk."
"111",-24.443739,7.851248,"YPERCH","Richardson Lk."
"112",-23.838625,7.354225,"YPERCH","Richardson Lk."
"113",-23.339597,6.653068,"YPERCH","Richardson Lk."
"114",-22.918442,7.390713,"YPERCH","Richardson Lk."
"115",-22.51327,7.459744,"YPERCH","Richardson Lk."
"116",-22.493465,7.118534,"YPERCH","Richardson Lk."
"117",-26.025661,9.768335,"SMB","Richardson Lk."
"118",-25.91698,9.914286,"SMB","Richardson Lk."
"119",-26.238933,9.528784,"SMB","Richardson Lk."
"120",-25.919143,9.637176,"SMB","Richardson Lk."
"121",-25.545228,9.45839,"SMB","Richardson Lk."
"122",-25.043477,9.204329,"SMB","Richardson Lk."
"123",-24.682855,9.621398,"SMB","Richardson Lk."
"124",-23.751407,8.756817,"SMB","Richardson Lk."
"125",-26.064905,9.554721,"SMB","Richardson Lk."
"126",-22.571767,8.543199,"SMB","Richardson Lk."
