"","Water","Water2","TAXON","p_lit","adjp_lit","plit_bound","tp_2","Lake"
"75","Mendelssohn","Reference","SMB",0.753129943502825,0.753129943502825,0.753129943502825,3.51476501163177,"Reference 1"
"76","Mendelssohn","Reference","SMB",0.477446327683617,0.477446327683617,0.477446327683617,3.99140340312396,"Reference 1"
"77","Mendelssohn","Reference","SMB",0.628926553672317,0.628926553672317,0.628926553672317,3.72091512130276,"Reference 1"
"78","Mendelssohn","Reference","SMB",0.604112994350283,0.604112994350283,0.604112994350283,3.69625438351612,"Reference 1"
"79","Mendelssohn","Reference","SMB",0.592564971751413,0.592564971751413,0.592564971751413,3.77630485875706,"Reference 1"
"80","Mendelssohn","Reference","SMB",0.8274802259887,0.8274802259887,0.8274802259887,3.64465760053174,"Reference 1"
"81","Mendelssohn","Reference","SMB",0.474802259887005,0.474802259887005,0.474802259887005,3.80692894649385,"Reference 1"
"82","Mendelssohn","Reference","YPERCH",0.348316384180792,0.348316384180792,0.348316384180792,3.37261015619807,"Reference 1"
"83","Mendelssohn","Reference","YPERCH",0.723751412429378,0.723751412429378,0.723751412429378,3.08857823861748,"Reference 1"
"84","Mendelssohn","Reference","YPERCH",0.915819209039548,0.915819209039548,0.915819209039548,3.04668428049186,"Reference 1"
"85","Mendelssohn","Reference","YPERCH",0.54974011299435,0.54974011299435,0.54974011299435,3.07487468261881,"Reference 1"
"86","Mendelssohn","Reference","YPERCH",0.854824858757062,0.854824858757062,0.854824858757062,3.01559252907943,"Reference 1"
"87","Mendelssohn","Reference","YPERCH",0.251322033898305,0.251322033898305,0.251322033898305,3.49679605184447,"Reference 1"
"88","Mendelssohn","Reference","YPERCH",0.39342372881356,0.39342372881356,0.39342372881356,3.31450923230309,"Reference 1"
"89","Nelson Lk.","Forested Lake","SMB",0.978478873239436,0.978478873239436,0.978478873239436,3.7945478044739,"Forested Lake"
"90","Nelson Lk.","Forested Lake","SMB",1.03192957746479,1,1.03192957746479,3.87058823529412,"Forested Lake"
"91","Nelson Lk.","Forested Lake","SMB",0.799619718309859,0.799619718309859,0.799619718309859,3.74557812758906,"Forested Lake"
"92","Nelson Lk.","Forested Lake","SMB",1.17988732394366,1,1.17988732394366,3.92647058823529,"Forested Lake"
"93","Nelson Lk.","Forested Lake","SMB",1.2276338028169,1,1.2276338028169,3.89705882352941,"Forested Lake"
"94","Nelson Lk.","Forested Lake","SMB",1.43046478873239,1,1.43046478873239,3.47647058823529,"Forested Lake"
"95","Nelson Lk.","Forested Lake","SMB",1.30659154929577,1,1.30659154929577,4.00588235294118,"Forested Lake"
