SIASAM,Water,TAXON,d13C,d15N,C.N,FLEN,TLEN,RWT
11071,Daisy Lk.,YPERCH,-31.84,5.81,3.32,73,77,4
11072,Daisy Lk.,YPERCH,-31.73,6.91,3.37,78,82,5
11073,Daisy Lk.,YPERCH,-32.78,7,3.39,77,81,6
11074,Daisy Lk.,YPERCH,-31.44,6.1,3.45,74,76,5
11075,Daisy Lk.,YPERCH,-29.25,6.18,3.3,76,78,5
11076,Daisy Lk.,YPERCH,-34.19,6.06,3.47,74,78,4
11077,Daisy Lk.,YPERCH,-28.11,6.78,3.33,83,86,7
11078,Daisy Lk.,YPERCH,-28.3,8.85,3.23,153,158,48
11079,Daisy Lk.,YPERCH,-25.8,9.98,3.26,159,167,50
12001,Baby Lk.,EPH,-28.08,3.6,4.54,NA,NA,NA
12002,Daisy Lk.,EPH,-25.88,1.69,4.22,NA,NA,NA
12003,Nelson Lk.,EPH,-26.97,0.88,4.57,NA,NA,NA
13001,Baby Lk.,ZOOP,-30.69,1.85,4.63,NA,NA,NA
13002,Daisy Lk.,ZOOP,-32.93,3.1,4.47,NA,NA,NA
13003,Nelson Lk.,ZOOP,-34.07,3.6,5.46,NA,NA,NA
14001,Baby Lk.,PERI,-26.95,1.14,13.7,NA,NA,NA
14002,Daisy Lk.,PERI,-28.47,2.19,10.53,NA,NA,NA
14003,Nelson Lk.,PERI,-25.74,1.59,12.33,NA,NA,NA
14004,Baby Lk.,PERI,-24.92,0.2,9.88,NA,NA,NA
14005,Baby Lk.,PERI,-25.54,0.13,10.19,NA,NA,NA
14006,Baby Lk.,PERI,-25.97,0.12,11.79,NA,NA,NA
14007,Daisy Lk.,PERI,-27.96,3.62,9.21,NA,NA,NA
14008,Daisy Lk.,PERI,-28.26,5.15,9.39,NA,NA,NA
14009,Daisy Lk.,PERI,-25.1,2.58,9.88,NA,NA,NA
14010,Daisy Lk.,PERI,-25.65,1.16,11.13,NA,NA,NA
14011,Daisy Lk.,PERI,-27.8,4.87,10.52,NA,NA,NA
14012,Daisy Lk.,PERI,-27.11,1.83,8.7,NA,NA,NA
14013,Daisy Lk.,PERI,-27.46,2.72,8.27,NA,NA,NA
14014,Daisy Lk.,PERI,-25.17,2.37,9.33,NA,NA,NA
14015,Nelson Lk.,PERI,-26.21,2.85,10.53,NA,NA,NA
14016,Nelson Lk.,PERI,-26.98,0.49,11.71,NA,NA,NA
14017,Nelson Lk.,PERI,-29.09,5.05,10.7,NA,NA,NA
21369,Nelson Lk.,LT,-30.83,7.49,3.39,420,471,812
21371,Nelson Lk.,LT,-31.12,6.41,3.58,320,355,333
21372,Nelson Lk.,LT,-32.24,5.9,3.59,295,332,246
21373,Nelson Lk.,LT,-29.41,8.13,3.54,405,477,900
21374,Nelson Lk.,LT,-32.38,7.98,3.37,392,439,679
21375,Nelson Lk.,LT,-32.16,8.07,3.29,439,490,933
21376,Nelson Lk.,LT,-29.74,8.03,3.62,442,494,960
21377,Nelson Lk.,LT,-30.5,8.25,3.7,465,515,1020
21378,Nelson Lk.,LT,-31.92,7.75,3.34,393,440,685
21379,Nelson Lk.,WS,-24.45,6.08,3.41,455,496,1246
21380,Nelson Lk.,WS,-27.75,6.54,3.3,443,478,1324
21381,Nelson Lk.,WS,-23.84,5.39,3.26,250,270,160
21382,Nelson Lk.,WS,-25.53,4.78,3.29,280,320,300
21383,Nelson Lk.,WS,-27.08,5.12,3.23,290,330,320
21384,Nelson Lk.,WS,-26.22,5.22,3.25,270,290,270
21385,Nelson Lk.,WS,-22.96,4.87,3.27,240,250,180
21386,Nelson Lk.,WS,-28.26,6.87,3.36,461,497,1484
21387,Nelson Lk.,WS,-27.16,5.69,3.3,449,478,1202
21388,Nelson Lk.,WS,-26.53,7.45,3.58,486,521,1456
21389,Nelson Lk.,BUR,-27.43,9.41,3.31,515,515,1000
21391,Nelson Lk.,SMB,-26.72,7.24,3.33,357,382,686
21393,Nelson Lk.,SMB,-28.31,7.36,3.27,382,405,865
21394,Nelson Lk.,SMB,-27.05,7.04,3.28,329,348,575
21395,Nelson Lk.,SMB,-25.38,7.33,3.38,337,356,575
21396,Nelson Lk.,SMB,-24.76,7.7,3.32,439,467,1680
21397,Nelson Lk.,SMB,-27.24,7.18,3.23,332,355,600
21398,Nelson Lk.,SMB,-25.62,7.43,3.28,411,438,1080
21810,Nelson Lk.,YPERCH,-28.62,4.52,3.31,NA,55,1.3
21811,Nelson Lk.,YPERCH,-28.93,4.7,3.53,NA,55,1.3
21812,Nelson Lk.,YPERCH,-27.56,5.26,3.24,78,80,5
21813,Nelson Lk.,YPERCH,-26.45,5.7,3.26,82,85,5.7
21814,Nelson Lk.,YPERCH,-28.68,5.72,3.19,115,120,16.7
21815,Nelson Lk.,YPERCH,-27.56,6.19,3.17,135,140,26.8
21816,Nelson Lk.,YPERCH,-26.8,6.71,3.18,150,159,43.4
21817,Nelson Lk.,SMB,-22.21,5.1,3.36,45,47,1.3
21818,Nelson Lk.,SMB,-21.55,5.44,3.37,45,47,1.2
21819,Nelson Lk.,SMB,-23.93,5.9,3.37,59,60,2.6
21820,Nelson Lk.,SMB,-26.81,6.21,3.27,115,120,20.9
21821,Nelson Lk.,SMB,-27.39,6.37,3.31,110,121,21.5
21822,Nelson Lk.,SMB,-26.84,6.3,3.26,NA,120,24.7
21823,Nelson Lk.,PSEED,-26.9,7.83,3.43,65,70,5.4
21824,Nelson Lk.,PSEED,-27.32,8.36,3.37,89,93,12.7
21825,Nelson Lk.,PSEED,-27.66,8.14,3.37,85,92,10.1
21826,Nelson Lk.,PSEED,-29.46,8.3,3.52,100,107,17.1
21827,Nelson Lk.,PSEED,-30.93,8.44,3.47,105,110,20.2
21828,Nelson Lk.,COSHIN,-27.53,6.88,3.52,149,159,41.1
21829,Nelson Lk.,COSHIN,-27.93,6.63,3.41,125,135,25.5
21830,Nelson Lk.,COSHIN,-28.44,6.21,3.31,115,122,19.3
21831,Nelson Lk.,COSHIN,-28.45,6.65,3.36,141,149,37.1
21832,Nelson Lk.,COSHIN,-27.63,6.56,3.35,NA,145,36.5
21833,Nelson Lk.,WS,-26.06,5.27,3.26,190,202,92.7
21834,Nelson Lk.,WS,-25.71,5.26,3.21,185,191,89.6
21835,Nelson Lk.,BBULL,-23.87,6,3.32,NA,234,NA
21836,Nelson Lk.,BUR,-24.56,7.84,3.25,NA,295,145.2
