SIA SAM,FISH,WBY,REGION,YEAR,DAY,TAXON,COMP,FLEN,TLEN,RWT,Tissue,Check,Del 15N,Del 13C,C/N,Comments
25367,.,Manitou-2,.,2022,20-Jul,CISCO,1,.,145,18.34,MUSCLE,V,7.94,-30.39,3.24,.
25368,.,Manitou-2,.,2022,20-Jul,CISCO,1,.,190,41.86,MUSCLE,V,7.80,-30.36,3.24,.
25369,.,Manitou-2,.,2022,20-Jul,CISCO,1,.,188,44.29,MUSCLE,V,8.14,-30.20,3.19,.
25370,.,Manitou-2,.,2022,20-Jul,CISCO,1,.,200,51.77,MUSCLE,V,8.55,-30.17,3.19,.
25371,.,Manitou-2,.,2022,20-Jul,CISCO,1,.,228,70.00,MUSCLE,V,8.29,-30.01,3.18,.
25372,.,Manitou-2,.,2022,20-Jul,RBASS,2,.,47,1.71,MUSCLE,V,6.08,-26.02,3.60,.
25373,.,Manitou-2,.,2022,20-Jul,RBASS,1,.,75,6.17,MUSCLE,V,6.25,-27.80,3.34,.
25374,.,Manitou-2,.,2022,20-Jul,RBASS,1,.,78,7.79,MUSCLE,V,6.76,-25.67,3.30,.
25375,.,Manitou-2,.,2022,20-Jul,RBASS,1,.,111,26.09,MUSCLE,V,6.77,-27.18,3.32,.
25376,.,Manitou-2,.,2022,20-Jul,RBASS,1,.,130,40.01,MUSCLE,V,7.77,-27.90,3.22,.
25377,.,Manitou-2,.,2022,20-Jul,RBASS,1,.,158,74.30,MUSCLE,V,7.10,-27.35,3.18,.
25378,.,Manitou-2,.,2022,20-Jul,RBASS,1,.,178,106.56,MUSCLE,V,7.86,-27.53,3.20,.
25379,.,Manitou-2,.,2022,20-Jul,MMSHINER,1,.,.,2.78,MUSCLE,V,6.08,-25.88,3.63,.
25380,.,Manitou-2,.,2022,20-Jul,MMSHINER,1,.,.,3.32,MUSCLE,V,5.93,-26.28,3.63,.
25381,.,Manitou-2,.,2022,20-Jul,CRAYFISH,2,.,.,2.27,MUSCLE,V,3.02,-25.54,3.48,.
25382,.,Manitou-2,.,2022,20-Jul,CRAYFISH,1,.,.,4.92,MUSCLE,V,3.53,-25.37,3.38,.
25383,.,Manitou-2,.,2022,20-Jul,CRAYFISH,1,.,.,23.93,MUSCLE,V,6.13,-25.04,4.10,.
25384,.,Manitou-2,.,2022,20-Jul,BNMIN,2,.,67,2.37,MUSCLE,V,5.67,-27.41,3.60,.
25385,.,Manitou-2,.,2022,20-Jul,BNMIN,1,.,70,2.87,MUSCLE,V,5.77,-27.38,3.44,.
25386,.,Manitou-2,.,2022,20-Jul,BNMIN,1,.,70,3.27,MUSCLE,V,5.88,-27.30,3.43,.
25387,.,Manitou-2,.,2022,20-Jul,BNMIN,1,.,73,3.67,MUSCLE,V,5.81,-26.92,3.51,.
25388,.,Manitou-2,.,2022,20-Jul,BNMIN,1,.,75,3.76,MUSCLE,V,6.33,-27.73,3.55,.
25389,.,Manitou-2,.,2022,20-Jul,BNMIN,1,.,79,4.63,MUSCLE,V,6.80,-28.33,4.10,.
25390,.,Manitou-2,.,2022,20-Jul,BNMIN,1,.,84,5.66,MUSCLE,V,5.85,-27.03,3.46,.
25391,.,Manitou-2,.,2022,20-Jul,SPSCULP,1,.,58,1.13,MUSCLE,V,8.03,-31.70,3.45,.
25392,.,Manitou-2,.,2022,20-Jul,SLSCULP,5,.,40,0.51,BODY,V,7.04,-29.67,4.30,.
25393,.,Manitou-2,.,2022,20-Jul,SLSCULP,2,.,60,1.97,MUSCLE,V,7.73,-30.81,3.61,.
25394,.,Manitou-2,.,2022,20-Jul,SLSCULP,2,.,70,2.45,MUSCLE,V,8.37,-31.27,3.51,.
25395,.,Manitou-2,.,2022,20-Jul,SLSCULP,1,.,70,3.37,MUSCLE,V,7.21,-29.67,3.65,.
25396,.,Manitou-2,.,2022,20-Jul,SLSCULP,1,.,83,6.07,MUSCLE,V,6.87,-25.50,3.37,.
25397,.,Manitou-2,.,2022,20-Jul,SLSCULP,1,.,82,5.89,MUSCLE,V,6.40,-24.75,3.42,.
25398,.,Manitou-2,.,2022,20-Jul,SLSCULP,1,.,92,9.52,MUSCLE,V,6.96,-22.62,3.50,.
25494,.,Manitou-2,.,2022,20-Jul,HEPTAGEN,15,.,.,.,BODY,V,0.98,-27.40,5.60,.
