,Water,Water2,TAXON,plit_bound,tp_2
155,Turtleshell,Reference,YPERCH,0.299297835,3.367763656
156,Turtleshell,Reference,YPERCH,0.420521608,3.458539435
157,Turtleshell,Reference,YPERCH,0.577672825,3.857373832
158,Turtleshell,Reference,YPERCH,0.591866589,3.918691271
159,Wawiashkashi,Reference,SMB,0.749247383,4.25318944
160,Wawiashkashi,Reference,SMB,0.36579038,4.281968153
161,Wawiashkashi,Reference,SMB,0.514307672,4.370777465
162,Wawiashkashi,Reference,SMB,0.488036306,4.280158115
163,Wawiashkashi,Reference,SMB,0.53331655,4.304544338
164,Wawiashkashi,Reference,SMB,0.496336293,4.281686997
165,Wawiashkashi,Reference,SMB,0.657327415,4.241920124
166,Wawiashkashi,Reference,SMB,0.805212667,4.221565515
167,Wawiashkashi,Reference,SMB,0.788576918,4.159664955
168,Wawiashkashi,Reference,SMB,0.76820856,4.066342388
169,Wawiashkashi,Reference,YPERCH,0.29353518,3.304818946
170,Wawiashkashi,Reference,YPERCH,0.319818471,3.313091778
171,Wawiashkashi,Reference,YPERCH,0.263805486,3.294690013
172,Wawiashkashi,Reference,YPERCH,0.628694846,3.614735002
173,Wawiashkashi,Reference,YPERCH,0.825425997,3.861863413
174,Wawiashkashi,Reference,YPERCH,0.649909898,3.879101801
175,Wawiashkashi,Reference,YPERCH,1.109307009,3.961764706
176,Wawiashkashi,Reference,YPERCH,0.94712336,3.677404999
